k,mae,rmse,prec,recall
550,0.7767762460233298,1.0628699218802609,0.37836691410392365,0.37836691410392365
555,0.7767762460233298,1.0630694469283637,0.37857900318133614,0.37857900318133614
560,0.777306468716861,1.063318800589037,0.3780487804878049,0.3780487804878049
565,0.7776246023329798,1.0634683847215332,0.3778366914103924,0.3778366914103924
570,0.7775185577942736,1.063318800589037,0.3778366914103924,0.3778366914103924
575,0.7774125132555674,1.0632689345350979,0.3779427359490986,0.3779427359490986
580,0.777306468716861,1.063318800589037,0.3780487804878049,0.3780487804878049
585,0.777306468716861,1.06321906614239,0.3779427359490986,0.3779427359490986
590,0.7772004241781548,1.0634683847215332,0.37836691410392365,0.37836691410392365
595,0.7770943796394486,1.063119322339352,0.37815482502651115,0.37815482502651115
600,0.7779427359490986,1.064016679957601,0.3778366914103924,0.3778366914103924
605,0.7779427359490986,1.0641163396477888,0.3779427359490986,0.3779427359490986
610,0.7781548250265111,1.0642159900052341,0.3777306468716861,0.3777306468716861
615,0.778897136797455,1.064863490023957,0.3773064687168611,0.3773064687168611
620,0.7791092258748674,1.0649630704693072,0.3770943796394486,0.3770943796394486
625,0.77932131495228,1.0651622034311206,0.37688229056203604,0.37688229056203604
630,0.7794273594909862,1.0652119808549592,0.37688229056203604,0.37688229056203604
635,0.7791092258748674,1.064863490023957,0.3769883351007423,0.3769883351007423
640,0.778897136797455,1.0644650750852995,0.3769883351007423,0.3769883351007423
645,0.7786850477200424,1.064365448048244,0.3772004241781548,0.3772004241781548
650,0.7790031813361612,1.064614498160001,0.3769883351007423,0.3769883351007423
655,0.778897136797455,1.0644650750852995,0.3769883351007423,0.3769883351007423
660,0.7785790031813362,1.0642159900052341,0.3772004241781548,0.3772004241781548
665,0.7785790031813362,1.0642159900052341,0.3772004241781548,0.3772004241781548
670,0.7784729586426299,1.0641661659929404,0.3773064687168611,0.3773064687168611
675,0.778897136797455,1.0645646927987817,0.3770943796394486,0.3770943796394486
680,0.778897136797455,1.0644650750852995,0.3769883351007423,0.3769883351007423
685,0.7791092258748674,1.0645646927987817,0.3767762460233298,0.3767762460233298
690,0.7791092258748674,1.0646643011913084,0.37688229056203604,0.37688229056203604
695,0.77932131495228,1.064863490023957,0.3767762460233298,0.3767762460233298
